"","PlotPlantID","sequenceDeadobs","sequenceMissingobs","sequenceDeadMissingobs","confirmedDead","confirmedMissing","confirmedDeadMissing","inconsistentDeadMissing"
"1","7130","0000","0010","0010",0,0,0,1
"2","7152","0000","0010","0010",0,0,0,1
"3","7165","0010","0000","0010",0,0,0,1
"4","7168","0010","0000","0010",0,0,0,1
"5","7174","0010","0000","0010",0,0,0,1
"6","7192","0010","0000","0010",0,0,0,1
"7","7226","0110","0000","0110",1,1,1,1
"8","7331","0100","0010","0110",0,0,1,1
"9","7333","0000","0010","0010",0,0,0,1
"10","7351","0110","0000","0110",1,1,1,1
"11","7396","0100","0001","0101",0,0,0,1
"12","7397","0000","0100","0100",0,0,0,1
"13","8013","00000100","00000000","00000100",0,0,0,1
"14","8068","00000010","00000000","00000010",0,0,0,1
"15","8077","000000100","000000000","000000100",0,0,0,1
"16","8079","000011","001000","001011",1,1,1,1
"17","8081","000110","000000","000110",1,1,1,1
"18","8087","001000","000011","001011",0,0,1,1
"19","8088","00000000","00010000","00010000",0,0,0,1
"20","8126","00000000","00000010","00000010",0,0,0,1
"21","8148","00000000","00000100","00000100",0,0,0,1
"22","8168","00010000","00000000","00010000",0,0,0,1
"23","8202","00000000","00000010","00000010",0,0,0,1
"24","8246","000101","000000","000101",0,0,0,1
"25","8254","00001000","00000110","00001110",0,0,1,1
"26","8265","00000000","00000010","00000010",0,0,0,1
"27","8270","00000100","00000000","00000100",0,0,0,1
"28","8311","00010011","00000000","00010011",1,1,1,1
"29","8374","00000000","00000010","00000010",0,0,0,1
"30","8403","0000000","0000100","0000100",0,0,0,1
"31","8418","0000101","0000000","0000101",0,0,0,1
"32","8458","0010000","0000000","0010000",0,0,0,1
"33","8487","0010000","0000000","0010000",0,0,0,1
"34","8493","0000000","0000110","0000110",0,0,1,1
"35","8508","0100001","0000000","0100001",0,0,0,1
"36","8514","001000","000011","001011",0,0,1,1
"37","8516","00101","00000","00101",0,0,0,1
"38","8555","0010000","0000000","0010000",0,0,0,1
"39","8584","0000010","0000000","0000010",0,0,0,1
"40","8629","00110","00000","00110",1,1,1,1
"41","8643","010000","000011","010011",0,0,1,1
"42","8652","000000","000010","000010",0,0,0,1
"43","8658","000010","000000","000010",0,0,0,1
"44","8673","010000","000000","010000",0,0,0,1
"45","8680","000000","000010","000010",0,0,0,1
"46","8709","0101","0000","0101",0,0,0,1
"47","8735","010000","000000","010000",0,0,0,1
"48","8737","0001100","0000000","0001100",1,1,1,1
"49","8781","00010","00000","00010",0,0,0,1
"50","8816","0110","0000","0110",1,1,1,1
"51","8826","00000","00010","00010",0,0,0,1
"52","8861","00000","00010","00010",0,0,0,1
"53","8864","00000","00101","00101",0,0,0,1
"54","8873b","0000001","0001010","0001011",0,0,1,1
"55","8911","00010","00000","00010",0,0,0,1
"56","8927","00000","00010","00010",0,0,0,1
"57","8951","00010","00000","00010",0,0,0,1
"58","8955","0000000","0010111","0010111",0,0,1,1
"59","8980","00000","00010","00010",0,0,0,1
"60","8999b","010","000","010",0,0,0,1
"61","9064","00010000","00000111","00010111",0,0,1,1
"62","9069","0000000","0000010","0000010",0,0,0,1
"63","9082","00000000","00000100","00000100",0,0,0,1
"64","9106","0001NA000","00000111","00010111",0,0,1,1
"65","9113b","00001011","00000000","00001011",1,1,1,1
"66","9156","00011000","00000000","00011000",1,1,1,1
"67","9164a","0010000","0101110","0111110",0,0,1,1
"68","9220","01000000","00000000","01000000",0,0,0,1
"69","9255","00000000","00000010","00000010",0,0,0,1
"70","9283","00000000","00000110","00000110",0,0,1,1
"71","9338","0000000","0000010","0000010",0,0,0,1
"72","9341a","0000100","0000000","0000100",0,0,0,1
"73","9347","0001010","0000000","0001010",0,0,0,1
"74","9350","0000010","0000000","0000010",0,0,0,1
"75","9354","00000010","00000000","00000010",0,0,0,1
"76","9394","00000010","00000000","00000010",0,0,0,1
"77","9399","000000100","000000000","000000100",0,0,0,1
"78","9401","000000010","000000000","000000010",0,0,0,1
"79","9415","000110","000000","000110",1,1,1,1
"80","9416","00000101","00000000","00000101",0,0,0,1
"81","9430","0000000","0000010","0000010",0,0,0,1
"82","9437","000100000","000000000","000100000",0,0,0,1
"83","9481","00000110","00000000","00000110",1,1,1,1
"84","9540","00000010","00000000","00000010",0,0,0,1
"85","9583","0000100","0000000","0000100",0,0,0,1
"86","9642","00000010","00000000","00000010",0,0,0,1
"87","9648","00000101","00000000","00000101",0,0,0,1
"88","9682","0000100","0000000","0000100",0,0,0,1
"89","9712","00101","00000","00101",0,0,0,1
"90","9732","00010001","00100000","00110001",0,0,1,1
"91","9739","00000010","00000000","00000010",0,0,0,1
"92","9747","00000010","00000000","00000010",0,0,0,1
"93","9748","00110","00000","00110",1,1,1,1
"94","9807","00000100","00000000","00000100",0,0,0,1
"95","9818","00010000","00000000","00010000",0,0,0,1
"96","9834","000000000","000010000","000010000",0,0,0,1
"97","9859","000101","000001","000102",0,0,0,1
"98","9869","00101","00000","00101",0,0,0,1
"99","9871","00000010","00000000","00000010",0,0,0,1
"100","9892b","00000010","00000000","00000010",0,0,0,1
"101","9917a","0000101","0000000","0000101",0,0,0,1
"102","9923","00010000","00000110","00010110",0,0,1,1
"103","9949","000011","011000","011011",1,1,1,1
"104","9967","00010001","00000010","00010011",0,0,1,1
